x	y	z
0.535126984	-0.624521017	5.734805107
0.49202776	-0.698202133	5.773233414
0.142609656	-0.532850266	5.812817574
0.2894499	-0.560831785	5.741758347
0.641270459	-0.610312462	5.653231621
0.539395571	-0.8281883	5.856204033
0.641475439	-0.794105053	5.72180748
0.235324204	-0.565632343	5.813416481
0.453312576	-0.701970696	5.789753914
0.52531153	-0.735441089	5.765440941
0.205984831	-0.523574591	5.74435997
0.16454196	-0.501496077	5.752485275
0.399151862	-0.592052221	5.774543762
0.195221126	-0.509109974	5.763915062
0.513388574	-0.677579761	5.760910988
0.500646412	-0.632105231	5.748171806
0.574837744	-0.661021948	5.733037949
-0.01604259	-0.440148115	5.742916107
0.452198744	-0.647193551	5.77822876
0.447026342	-0.617087483	5.762598038
0.477297008	-0.660110831	5.770540237
0.119008712	-0.486769676	5.752923965
0.550071776	-0.642226338	4.063994408
0.250783175	-0.544821262	5.801713943
0.280205131	-0.547106266	5.790079117
0.230189294	-0.525763273	5.778889656
0.265982151	-0.541567802	5.761322021
-0.091402307	-0.422491312	5.791954041
0.132013381	-0.512908459	5.720661163
0.328054786	-0.597771525	5.706233025
0.316819131	-0.572651148	5.73595047
0.007727861	-0.454905033	5.78905201
0.062926233	-0.53546977	5.684763908
0.503499389	-0.7454108	5.583451271
0.309601814	-0.64177084	5.666335106
-0.067488268	-0.453582048	5.701457024
0.040320873	-0.592921257	5.659693718
0.202180147	-0.593252182	5.68778038
0.277455777	-0.598834395	5.701016426
0.244300336	-0.557765007	5.724876404
0.629292488	-0.722447276	5.519011497
0.360061914	-0.576971769	5.791097641
-0.046589628	-0.438346863	5.726350784
0.423492342	-0.679637074	5.619106293
0.4823668	-0.693273664	5.596632957
0.350021303	-0.658973575	5.646892548
0.457713097	-0.614158392	5.72550106
0.519840121	-0.614255548	5.717176437
0.046497941	-0.461982727	5.777517319
0.015439868	-0.448661566	5.772624016
0.412575215	-0.720170021	5.807835579
0.423540473	-0.630186439	5.78745079
